nom_commune,code_insee,type_bien,loyer_m2,loyer_m2_min,loyer_m2_max,niveau_prediction,nb_obs_commune,r2_adj,population,superficie_km2,region,departement,latitude,longitude
Loos,59360,Appartement,13.1672431235756,11.0205664027598,15.7320672222375,commune,2611,0.843772974608758,23013,7,Hauts-de-France,Nord,50.615,3.015
Montgeron,91421,Appartement,16.5126554953144,14.198035760507,19.2046136596856,commune,1795,0.889263953042289,23800,11,Île-de-France,Essonne,48.704,2.461
Rennes,35238,Appartement,13.3975305027271,10.7460076826329,16.7033031124285,commune,41974,0.847775012445503,225081,50,Bretagne,Ille-et-Vilaine,48.112,-1.68
Anglet,64024,Appartement,13.9164715342651,11.2705736671523,17.1835246087295,commune,3502,0.817520877939247,41153,28,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.481,-1.515
Gonesse,95277,Appartement,16.1778420991062,13.2260736247589,19.7883803167159,commune,743,0.74720000833396,25963,20,Île-de-France,Val-d'Oise,48.986,2.45
Savigny-sur-Orge,91589,Appartement,16.3799470020796,13.5463746380012,19.8062338419517,commune,2917,0.812594496839705,37371,7,Île-de-France,Essonne,48.68,2.346
Périgueux,24322,Appartement,8.55137302976975,6.64990367440484,10.9965473598861,commune,8868,0.797870244469457,29516,10,Nouvelle-Aquitaine,Dordogne,45.184,0.716
Saint-Martin-d'Hères,38421,Appartement,12.684681581696,10.1401562234084,15.8677187297745,commune,5124,0.777255709989608,38454,9,Auvergne-Rhône-Alpes,Isère,45.184,5.755
Longjumeau,91345,Appartement,16.0558141072585,13.5277419756877,19.0563337998422,commune,1563,0.863373884132849,20620,5,Île-de-France,Essonne,48.694,2.296
Saint-Herblain,44162,Appartement,12.6784124054639,10.8381614041142,14.8311263441789,commune,3935,0.85104552674192,49537,30,Pays de la Loire,Loire-Atlantique,47.211,-1.648
Givors,69091,Appartement,10.5062603482757,8.16108003736804,13.5253552226341,commune,1889,0.693921125367558,20654,17,Auvergne-Rhône-Alpes,Rhône,45.582,4.774
Pontoise,95500,Appartement,16.0948661390362,13.6523030133732,18.974433528156,commune,5176,0.871655440148834,31327,7,Île-de-France,Val-d'Oise,49.051,2.101
Poissy,78498,Appartement,17.423491785973,14.2138230670307,21.3579460349429,commune,3809,0.83542238713951,40016,13,Île-de-France,Yvelines,48.927,2.043
La Madeleine,59368,Appartement,14.0063426505601,11.3821148754596,17.2356048582734,commune,4541,0.838901239798667,22488,3,Hauts-de-France,Nord,50.654,3.074
Avignon,84007,Appartement,11.7947691781034,9.30005688608445,14.9586805402123,commune,15674,0.775895353367695,90330,65,Provence-Alpes-Côte d'Azur,Vaucluse,43.949,4.805
Saint-Pierre,97416,Appartement,13.8552164311045,10.7680481481157,17.8274669385036,commune,3726,0.749084838455398,84077,96,La Réunion,La Réunion,-21.342,55.478
Angoulême,16015,Appartement,10.4478926953803,8.37245177385052,13.0378131427539,commune,8048,0.818938950283691,41086,22,Nouvelle-Aquitaine,Charente,45.648,0.156
